invoice_id,customer_id,customer_name,invoice_date,due_date,amount,status,days_overdue,last_payment_date,property_id,description
AR-001,CUST-101,Meridian Legal Partners,2024-01-15,2024-02-14,18750.00,Paid,0,,L-1501-A,Legal services - Jan
AR-002,CUST-102,TechStart Pty Ltd,2024-01-20,2024-02-19,22000.00,Paid,0,,L-1501-B,IT services - Jan
AR-003,CUST-103,LogiCo Ltd,2024-02-01,2024-03-03,8400.00,Overdue,45,,L-1501-D,Logistics - Feb
AR-004,CUST-101,Meridian Legal Partners,2024-02-10,2024-03-11,18750.00,Paid,0,,L-1501-A,Legal services - Feb
AR-005,CUST-104,Audit Partners Group,2024-02-15,2024-03-17,31200.00,Overdue,28,,L-1501-E,Audit services - Q1
AR-006,CUST-102,TechStart Pty Ltd,2024-03-01,2024-04-01,22000.00,Paid,0,,L-1501-B,IT services - Feb
AR-007,CUST-105,PackRight Pty Ltd,2024-03-10,2024-04-09,5600.00,Overdue,62,,L-1501-G,Packaging supplies
AR-008,CUST-101,Meridian Legal Partners,2024-03-15,2024-04-14,18750.00,Paid,0,,L-1501-A,Legal services - Mar
AR-009,CUST-106,MedHealth Ltd,2024-03-20,2024-04-19,9300.00,Overdue,33,,L-1501-H,Medical consulting
AR-010,CUST-102,TechStart Pty Ltd,2024-04-01,2024-05-01,22000.00,Overdue,18,,L-1501-B,IT services - Mar
AR-011,CUST-103,LogiCo Ltd,2024-04-10,2024-05-10,8400.00,Overdue,75,,L-1501-D,Logistics - Apr
AR-012,CUST-107,StartupXYZ,2024-04-15,2024-05-15,15500.00,Overdue,12,,L-1501-I,Startup services
AR-013,CUST-101,Meridian Legal Partners,2024-04-20,2024-05-20,18750.00,Pending,0,,L-1501-A,Legal services - Apr
AR-014,CUST-104,Audit Partners Group,2024-05-01,2024-05-31,31200.00,Overdue,45,,L-1501-E,Audit services - Q2
AR-015,CUST-108,FinServ Group,2024-05-10,2024-06-09,28000.00,Overdue,8,,L-1501-F,Financial services
